ORI, DSN, STOP_DATE, TIME_OF_STOP, SEQ_NO, REF_NO, EVENT_NO, RACE_BEFORE_STOP, RES_JURISDICTION, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_INVESTIGATIVE, VIOL_EQUIPMENT, VIOL_LICENSE, VIOL_MOVING, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOP_NO_ACTION, STOP_OTHER, STOPARRESTIND, SEARCH_CONDUCT, SEARCH_BOTH, SEARCHED_PERSON, SEARCHED_PROPERTY, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_TRAFF_VIOL, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, STATUS_CODE,,,,,,,,,,,,,,,,,,,,
MO0957300,531,1/4/2018,850,0,TA00806279,,N,N,M,B,B,,,C,,E,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.09.04,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,532,1/4/2018,1937,0,TA00806299,,N,Y,M,B,C,,,C,,,,M,,,,,,,O,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.00.55,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,534,1/4/2018,2130,0,TA00806303,,N,N,M,B,C,,,N,,,L,,,,,,,,,Y,,C,,,,Y,B,,,A,,,,,,,,I,,,,,,,Y,W,,,,,,,,,1/7/2018,11.02.02,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,535,1/4/2018,20,0,TA00806332,,N,N,M,B,B,,,N,,,,M,,,,,,,O,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.02.26,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,535,1/4/2018,50,1,TA00806333,,N,N,F,B,B,,,N,,,L,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.07.12,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,512,1/4/2018,620,0,TA00806416,,N,Y,F,B,B,,,C,,E,,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.55.19,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,426,1/5/2018,740,0,TA00806763,,N,Y,F,B,C,,,N,,,,M,,,,,,,O,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/8/2018,16.45.50,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,426,1/5/2018,1121,1,TA00806764,,N,Y,F,W,C,,,N,,,L,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/8/2018,16.46.14,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,426,1/5/2018,1400,2,TA00806765,,N,N,F,B,B,,,C,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/8/2018,16.46.36,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,464,1/5/2018,1135,0,TA00806919,,Y,N,M,W,C,,,C,,E,,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/8/2018,16.49.11,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
