ORI, DSN, STOP_DATE, SEQ_NO, REF_NO, EVENT_NO, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_MOVING, VIOL_EQUIPMENT, VIOL_LICENSE, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOPARRESTIND, SEARCH_CONDUCT, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, SEARCHED_PERSON, SEARCHED_PROPERTY, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, TIME_OF_STOP, RACE_BEFORE_STOP, RES_JURISDICTION, STOP_NO_ACTION, SEARCH_BOTH, CHRG_TRAFF_VIOL, VIOL_INVESTIGATIVE, STOP_OTHER, STATUS_CODE
MO0957300,526,7/10/2017,0,TA00616115,,M,B,B,,,C,,,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.21.02,#LIDSC1,,,,,,,1348,N,N,,,,,,FIN
MO0957300,532,7/10/2017,0,TA00616171,,M,U,B,,,C,M,,,S,,,,,,,Y,,C,,Y,A,C,,,,,,,,,P,,,,,,,N,,,,,,,,,7/12/2017,03.31.11,#LIDSC1,,,,,,,2315,N,N,,,,,,FIN
MO0957300,426,7/10/2017,0,TA00616337,,M,B,B,,,N,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/20/2017,02.07.21,#GRALR1,,,,,,,1005,N,N,,,,,,FIN
MO0957300,497,7/10/2017,0,TA00616393,,M,W,B,,,C,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.18.52,#LIDSC1,,,,,,,1155,N,N,,,,,,FIN
MO0957300,509,7/10/2017,0,TA00616454,,M,B,B,,,N,M,,,S,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.24.59,#LIDSC1,,,,,,,26,N,N,N,,,,,FIN
MO0957300,510,7/10/2017,0,TA00616596,,M,B,C,,,C,,,,,,,,,,,Y,,C,,Y,A,C,D,,,,,,,,,,,,,,,Y,W,,,,,,,,7/12/2017,03.33.51,#LIDSC1,,,,,,,2352,N,N,,B,T,I,,FIN
MO0957300,510,7/10/2017,1,TA00616597,,F,W,B,,,N,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,03.34.48,#LIDSC1,,,,,,,2320,N,N,,,,,,FIN
MO0957300,486,7/10/2017,0,TA00616626,,M,U,B,,,C,M,,,,,,,,,O,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,03.43.56,#LIDSC1,,,,,,,2005,N,N,,,,,,FIN
MO0957300,520,7/10/2017,0,TA00616699,,F,W,D,,,C,M,,,,I,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.18.08,#LIDSC1,,,,,,,1150,Y,N,N,,,,,FIN
MO0957300,513,7/10/2017,0,TA00616768,,M,B,B,,,N,,,,,,,,,,,Y,,C,,Y,B,,D,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,03.46.32,#LIDSC1,,,,,,,2053,N,N,,B,,,,FIN
